Edge_From,Edge_To
Doctrinal Theology,"Philosophy, Psychology, Religion"
Practical Theology,"Philosophy, Psychology, Religion"
Economic theory,Social Sciences
"Industries, Land use, Labor",Social Sciences
Finance,Social Sciences
Fiction,Language and Literature
Turkic languages,Language and Literature
Literature (general),Language and Literature
English literature,Language and Literature
American literature,Language and Literature
French prose,Romance literature
French folk literature,Romance literature
Spanish literature,Romance literature
Romance literature,Language and Literature
America (general),America
North America,America
United States (general),United States
Van Buren’s administration,United States
Pierce’s administration,United States
Buchanan’s administration,United States
Slavery in the United States,United States
Grant’s administration,United States
America,History of the Americas
United States,History of the Americas
