title,subclass,description
"English literature,",English literature,Also available in digital form on the Internet Archive Web site.
English literature.,English literature,Also available in digital form on the Internet Archive Web site.
"English literature,",English literature,Also available in digital form on the Internet Archive Web site.
American literature.,American literature,Also available in digital form on the Internet Archive Web site.
English literature.,English literature,Also available in digital form on the Internet Archive Web site.
American literature.,American literature,Also available in digital form on the Internet Archive Web site.
English literature.,English literature,Also available in digital form on the Internet Archive Web site.
American literature /,American literature,Includes index. Includes bibliography: p. 487-502. Also available in digital form on the Internet Archive Web site.
"English literature,",English literature,"""Some useful books"" at end of each chapter. Also available in digital form on the Internet Archive Web site."
"English literature,",English literature,"""Chronological table"" (p. 251-268) and index. Also available in digital form on the Internet Archive Web site."
American literature /,American literature,"Includes index. ""A classified list of late and contemporary writers"": p. 311-327. ""References"": p. 336-339. ""Suggestions for reading and study"": p. 340-354. Also available in digital form on the Internet Archive Web site."
English literature /,English literature,Also available in digital form on the Internet Archive Web site.
"A brief American literature,",American literature,Published in 1909 under title: A primer of American literature. Also available in digital form.
Literature for children,Fiction,"Composed from several collections of the State University System of Florida, this site provides a fully searchable database of digitized children's books. Full text and illustrations are provided via PDF files which may be purchased on CD-ROM. Selections are predominantly from the United States and Great Britain originally published from the 17th through the 20th centuries."
"Outlines of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"Lessons in literature,",English literature,Also available in digital form on the Internet Archive Web site.
Outlines of English literature.,English literature,Also available in digital form on the Internet Archive Web site.
"Lessons in English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"American literature papers,",American literature,Also available in digital form on the Internet Archive Web site.
"Lessons in literature,",English literature,Also available in digital form on the Internet Archive Web site.
"History of American literature,",American literature,Contains bibliographies. Also available in digital form on the Internet Archive Web site.
"History of American literature,",American literature,Contains bibliographies. Also available in digital form on the Internet Archive Web site.
"Technology, literature and culture /",Literature (general),Includes bibliographical references and index.
Introduction to American literature.,American literature,Also available in digital form.
Introduction to English literature...,English literature,Also available in digital form on the Internet Archive Web site.
"An introduction to English literature,",English literature,"Based upon the author's Representative English literature. cf. Pref. ""Study list"": p. 657-703. Also available in digital form on the Internet Archive Web site."
"The spirit of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
"A history of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
First steps in English literature.,English literature,Also available in digital form on the Internet Archive Web site.
"A primer of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"An introduction to English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"A compendium of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
A primer of American literature.,American literature,Also available in digital form on the Internet Archive Web site.
"The making of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"A primer of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
A primer of American literature /,American literature,Includes index. Also available in digital form on the Internet Archive Web site.
"Reading courses in American literature,",American literature,Also available in digital form on the Internet Archive Web site.
"An introduction to English literature,",English literature,Also available in digital form.
A manual of English literature /,English literature,Includes index. Also available in digital form on the Internet Archive Web site.
"American literature for secondary schools,",American literature,"""Readings and topics"" at end of each chapter. ""Appendix: Chronological tables"": p. [301]-329. Also available in digital form on the Internet Archive Web site."
A course of English literature.,English literature,"""A reprint of articles contributed years before to the ʻWelcome guest.ʼ"" cf. Dict. of nat. biog. Also available in digital form on the Internet Archive Web site."
A study of American literature /,American literature,"Published for the Bay View reading club, General Office, Boston Boulevard ; Detroit, Mich. Includes bibliographies and index. Also available in digital form on the Internet Archive Web site."
"A history of American literature,",American literature,"""Book list"" at end of each chapter. Also available in digital form on the Internet Archive Web site."
First steps in English literature.,English literature,"""Preface to the tenth edition"" (p. [iii]-vi) dated 1876. Bibliography: p. [206]-221. A digital reproduction made from a copy held by the University of Michigan is available from the University of Michigan's Making of America Web site. Also available in digital form on the Internet Archive Web site."
A primer of American literature.,American literature,Also available in digital form.
"A history of English literature,",English literature,Also available in digital form.
Anglo-American literature and manners:,United States (general),"Translation, somewhat abridged, by Donald MacLeod. Also available in digital form on the Internet Archive Web site. Also available in digital form on the Internet Archive Web site."
A history of American literature...,American literature,Also available in digital form on the Internet Archive Web site.
A complete manual of English literature.,English literature,"""The present work, which was originally published under the title of 'Outlines of English literature', has been entirely re-written.""--Pref., dated 1864. Also available in digital form on the Internet Archive Web site."
"A short history of American literature,",American literature,Appendix C: Partial bibliography of colonial and revolutionary literature: p. 432-444. Appendix D: Reference list of books and articles: p. 445-466. Also available in digital form on the Internet Archive Web site.
"A primer of English and American literature,",English literature,Also available in digital form on the Internet Archive Web site.
"Studies in American and British literature,",English literature,Also available in digital form on the Internet Archive Web site.
"A primer of English and American literature,",English literature,Also available in digital form on the Internet Archive Web site.
"Young people's story of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
"Lectures on the history of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
Introduction to the study of English literature /,English literature,Also available in digital form on the Internet Archive Web site.
"A short history of English literature,",English literature,Also available in digital form on the Internet Archive Web site.
"A student's history of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
A first sketch of English literature /,English literature,Also available in digital form on the Internet Archive Web site.
Representative English literature from Chaucer to Tennyson ...,English literature,List of authors to accompany literary map: p. 495-496. Also available in digital form on the Internet Archive Web site.
A student's history of English literature /,English literature,Includes index. Also available in digital form on the Internet Archive Web site.
"A short history of modern English literature,",English literature,Biographical list of authors: p. 393-402. Bibliographical note: p. 403-408. Also available in digital form on the Internet Archive Web site.
"A history of literature in America,",American literature,"""School version"" of Wendell's Literary history of America. ""General references"": p. [vii]-ix. ""References"" at head of each chapter. Also available in digital form on the Internet Archive Web site."
An outline sketch of American literature /,American literature,Includes index. Also available in digital form on the Internet Archive Web site.
"Residues of justice : literature, law, philosophy /",Literature (general),"Includes bibliographical references (p. 225-269) and indexes. A digital reproduction is available from E-Editions, a collaboration of the University of California Press and the California Digital Library's eScholarship program."
"Studies in English and American literature,",English literature,Also available in digital form on the Internet Archive Web site.
A history of English and American literature /,English literature,Also available in digital form on the Internet Archive Web site.
"Compendium of United States history and literature,",America (general),Also available in digital form on the Internet Archive Web site.
English literature. A historical sketch of English literature from the earliest times.,English literature,Also available in digital form on the Internet Archive Web site.
"Hazlitt on English literature; an introduction to the appreciation of literature,",English literature,Also available in digital form on the Internet Archive Web site.
"Correlation of history, geography and literature",America (general),Also available in digital form on the Internet Archive Web site.
"An introduction to the study of American literature,",American literature,"""A brief chronology of American literature"" : p. 252-264. Also available in digital form on the Internet Archive Web site."
A history of English literature / by F.V.N. Painter.,English literature,"Includes index. ""In the main, an expansion of the author's 'Introduction to English literature' [1894]""--Pref. Also available in digital form on the Internet Archive Web site."
"A brief survey of English and American literature,",English literature,"Bibliography; a working library for the study of English in the high schools"": p. 143-149. Also available in digital form on the Internet Archive Web site."
"English and American literature for schools and colleges,",English literature,Also available in digital form on the Internet Archive Web site.
The story of English literature for young readers.,English literature,Also available in digital form on the Internet Archive Web site.
"A short history of England's and America's literature,",English literature,"""References"": p. [403]-414. Also available in digital form on the Internet Archive Web site."
"Our heritage; a study through literature of the American tradition,",America (general),Bibliography: p. 47-51. Also available in digital form on the Internet Archive Web site.
"Lectures on English literature, from Chaucer to Tennyson.",English literature,Also available in digital form on the Internet Archive Web site.
"Lectures on English literature, from Chaucer to Tennyson.",English literature,Also available in digital form on the Internet Archive Web site.
"Lectures on English literature, from Chaucer to Tennyson.",English literature,Edited by William B. Reed. A digital reproduction made from a copy held by the University of Michigan is available from the University of Michigan's Making of America Web site.
"A history of English literature for secondary schools,",English literature,Also available in digital form on the Internet Archive Web site.
"Introduction to American literature, including illustrative selections, with notes,",American literature,Also available in digital form on the Internet Archive Web site.
"An introduction to the study of American literature,",American literature,Also available in digital form on the Internet Archive Web site.
A hand-book of English and American literature.,English literature,Also available in digital form on the Internet Archive Web site.
Health service delivery in China a literature review /,Finance,"""The authors report the results of a review of the Chinese-language and English-language literatures on service delivery in China, asking how well China's health care providers perform, what determines their performance, and how the government can improve it.  They find current performance leaves room for improvement in terms of quality, responsiveness to patients, efficiency, cost escalation, and equity.  The literature suggests that these problems will not be solved by simply shifting ownership to the private sector, or by simply encouraging providers-public and private-to compete with one another for individual patients.  In contrast, substantial improvements could be (and in some places have already been) made by changing the way providers are paid-shifting away from fee-for-service and the distorted price schedule toward prospective payments.  Active purchasing by insurers could further improve outcomes. ""--World Bank web site."
A review of the empirical literature on FDI determinants,Economic theory,"""This paper surveys the recent burgeoning literature that empirically examines the foreign direct investment (FDI) decisions of multinational enterprises (MNEs) and the resulting aggregate location of FDI across the world.  The contribution of the paper is to evaluate what we can say with relative confidence about FDI as a profession, given the evidence, and what we cannot have much confidence in at this point.  Suggestions are made for future research directions""--National Bureau of Economic Research web site."
A literature review on the effectiveness of financial education,Economic theory,"""This survey summarizes current research on financial literacy efforts. Because most financial literacy programs are relatively new, much of the literature reviewed here is also new and part of a field that is still developing as a program of research. However, we can conclude that financial education is necessary and that many existing approaches are effective. Among the findings are that some households make mistakes with personal finance decisions; mistakes are more common for low income and less educated households; there is a causal connection between increases in financial knowledge and financial behavior; and the benefits of financial education appear to span a number of areas including retirement planning, savings, homeownership, and credit use.""--Federal Reserve Bank of Richmond web site."
Short studies in literature. For the use of schools.,English literature,Also available in digital form on the Internet Archive Web site.
"My satchel and I, or, Literature on foot.",Fiction,A digital reproduction made from a microform copy held by Indiana University is available from its Wright American Fiction 1851-1875 Web site.
Branch versus unit banking a survey of the literature /,Economic theory,"""This study attempts to determine whether entry regulation is more restrictive in unit or branch banking states""--Federal Reserve Bank of Minneapolis web site."
"Types of children's literature; a collection of the world's best literature for children, for use in colleges, normal schools and library schools,",Fiction,Bibliography:  p. 447-451. Also available in digital form.
Studies in American literature : a text-book for academies and high schools /,American literature,"Includes index. ""List of works on American literature"": p. xv-xviii. Also available in digital form on the Internet Archive Web site."
"A short course in literature, English and American. By John S. Hart ...",English literature,"""An abridgment of two larger works by the same author, one on English literature, the other on American literature.""--Pref. Also available in digital form on the Internet Archive Web site."
"A short history of American literature designed primarily for use in schools and colleges,",American literature,Appendix c: Partial bibliography of colonial and revoluntionary literature; appendix D: References list of books and articles. Also available in digital form on the Internet Archive Web site.
"One year course in English and American literature; an introduction to the chief authors in English and American literature, with reading lists and references for further study,",English literature,Also available in digital form on the Internet Archive Web site.
"A short history of England's and America's literature, by Eva March Tappan.",English literature,"""References"":  p. [388]-399. Also available in digital form on the Internet Archive Web site."
Magic realism in Holocaust literature : troping the traumatic real,Literature (general),Includes bibliographical references (p. 182-201) and index.
A manual of English literature : a text book for schools and colleges /,English literature,Includes index. Also available in digital form on the Internet Archive Web site.
"A manual of English literature, historical and critical : with an appendix on English metres /",English literature,Includes index. Also available in digital form on the Internet Archive Web site.
A short history of American literature : designed primarily for use in schools and colleges /,American literature,Includes bibliographical references (p. 329-356) and index. Also available in digital form on the Internet Archive Web site.
A manual of American literature: a text-book for schools and colleges.,American literature,Also available in digital form on the Internet Archive Web site.
"American literature; a text book for the use of schools and colleges,",American literature,Also available in digital form on the Internet Archive Web site.
"An epitome of English literature from antiquity to Sir Walter Scott's time,",English literature,Also available in digital form on the Internet Archive Web site.
"Sketches of English literature, from the fourteenth to the present century.",English literature,Also available in digital form on the Internet Archive Web site.
"Studies in English and American literature, from Chaucer to the present time;",English literature,Also available in digital form.
"A short course in literature, English and American. For the use of schools and academies.",English literature,Also available in digital form on the Internet Archive Web site.
Handy helps in the history and literature of the United States.,America (general),Also available in digital form on the Internet Archive Web site.
"Nihon bungakushi. Kodai, chūsei hen /",Turkic languages,"Includes bibliographical references and indexes. ""古代中世文学史年表 長谷川範彰 目黒将史作成:p357-389""--JaToTRC report."
"A manual of English literature, and of the history of the English language, from the Norm conquest; with numerous specimens.",English literature,Abridged from the author's History of English literature and the English language. Also available in digital form on the Internet Archive Web site.
Production and cost functions and their application to the port sector a literature survey /,Finance,"Mode of access: World Wide Web. Title from title screen as viewed on August 27, 2003. ""August 25, 2003."" Includes bibliographical references. Also available in print."
A literature review on the use of expert opinion in probabilistic risk analysis,Finance,"Mode of access: World Wide Web. Title from title screen as viewed on January 29, 2004. ""January 28, 2004."" Includes bibliographical references. Also available in print."
"Study book in English literature from Chaucer to the close of the romantic period,",English literature,"Bibliography at beginning of every chapter except XVI and XXVII. ""General bibliography"": p.1-6. Also available in digital form on the Internet Archive Web site."
"Home authors and home artists; or, American scenery, art, and literature.",United States (general),"Added t.-p. engraved: The home book of the picturesque. New York, G.P. Putnam, 1852. Also available in digital form on the Internet Archive Web site."
Perspectives from the happiness literature and the role of new instruments for policy analysis,"Industries, Land use, Labor","""After having been ignored for a long time by economists, happiness is becoming an object of serious research in 21st century economics. In Section 2 we sketch the present status of happiness economics. In Section 3 we consider the practical applicability of happiness economics, retaining the assumption of ordinal individual utilities. In Section 4 we introduce a cardinal utility concept, which seems to us the natural consequence of the happiness economics methodology. In Section 5 we sketch how this approach can lead to a normative approach to policy problems that is admissible from a positivist point of view. Section 6 concludes""--Forschungsinstitut zur Zukunft der Arbeit web site."
How can behavioral economics inform non-market valuation? an example from the preference reversal literature /,Economic theory,"""Psychological insights have made inroads within most major areas of study in economics.  One area where less advance has been made is environmental and resource economics.  In this study, we examine the implications of preference reversals over evaluation modes, in which stated economic values critically depend on whether the good is valued jointly with others or in isolation.  The question arises because two commonly used methods for eliciting stated preferences differ in that one presents objects together and another presents objects to be evaluated in isolation.  Beyond showing an example of the import of behavioral economics, our empirical evidence sheds new light on the factors associated with insensitivity of valuations to the scope of the good""--National Bureau of Economic Research web site."
Emerging infrastructure policy issues in developing countries a survey of the recent economic literature /,Finance,"""Estache reviews the recent economic research on emerging issues for infrastructure policies affecting poor people in developing countries.  His main purpose is to identify some of the challenges the international community, and donors in particular, are likely to have to address over the next few years.  He addresses six main issues: (1) the necessity of infrastructure in achieving the Millennium Development Goals; (2) the various dimensions of financing challenges for infrastructure; (3) the debate on the relative importance of urban and rural infrastructure needs; (4) the debate on the effectiveness of infrastructure decentralization; (5) what works and what does not when trying to target the needs of the poor, with an emphasis on affordability and regulation challenges; and (6) the importance of governance and corruption in the sector.  The author concludes by showing how the challenges identified define a relatively well integrated agenda for both researchers and the international infrastructure community.  This paper,a product of the Office of the Vice President, Infrastructure Network,is part of a larger effort in the network to stimulate more analytical assessments of emerging issues in the sector""--World Bank web site."
"Studies in English literature, including selections from the five great classics, Chaucer, Spenser, Shakespeare, Bacon, and Milton, and a history of English literature from the earliest times to the death of Dryden, in 1700,",English literature,Also available in digital form on the Internet Archive Web site.
The history of English literature; with an outline of the origin and growth of the English language:,English literature,Also available in digital form on the Internet Archive Web site.
"A hand-book of English and American literature. Historical and critical, with illustrations of the writings of each successive period ...",English literature,Also available in digital form on the Internet Archive Web site.
Nihon kodai ren'ai bungakushi /,Turkic languages,In Japanese. Includes bibliographical references and indexes.
Nihon kin-gendai bungaku ni okeru hitsuji no hyōshō : Sōseki kara Haruki made = The representation of sheep in modern Japanese literature : from Sōseki Natsume to Haruki Murakami,Turkic languages,"Revision of the author's thesis (doctoral)--Tsukuba Daigaku, 2015. Includes bibliographical references (pages 245-251). In Japanese."
"A manual of English literature, and of the history of the English language, from the Norman conquest.",English literature,Also available in digital form on the Internet Archive Web site.
